Código IBGE,UF,MUNICÍPIO,MICRORREGIÃO,"RENDA PER CAPITA 
CORRIGIDA E AJUSTADA","TAXA DE CRESCIMENTO 
GEOMETRICO DO PIB  
PER CAPITA TRIENAL",TIPOLOGIA SUB REGIONAL,"TIPOLOGIA SUB REGIONAL DE ACORDO 
COM O DECRETO 6.047, de 22/02/2007"
1200351,AC,Marechal Thaumaturgo,Cruzeiro do Sul,"184,15","1,69",Baixa Renda e Baixo Dinamismo,Baixa Renda
1200328,AC,Jordão,Tarauacá,"208,46","1,26",Baixa Renda e Baixo Dinamismo,Baixa Renda
1200427,AC,Rodrigues Alves,Cruzeiro do Sul,"234,86","1,72",Baixa Renda e Baixo Dinamismo,Baixa Renda
1200435,AC,Santa Rosa do Purus,Sena Madureira,"236,03","0,04",Baixa Renda e Baixo Dinamismo,Baixa Renda
1200393,AC,Porto Walter,Cruzeiro do Sul,"239,09","0,84",Baixa Renda e Baixo Dinamismo,Baixa Renda
1200609,AC,Tarauacá,Tarauacá,"294,52","2,42",Média Renda e Médio Dinamismo,Estagnadas
1200302,AC,Feijó,Tarauacá,"303,77","2,93",Média Renda e Médio Dinamismo,Estagnadas
1200054,AC,Assis Brasil,Brasiléia,"341,12","1,27",Média Renda e Baixo Dinamismo,Estagnadas
1200336,AC,Mâncio Lima,Cruzeiro do Sul,"346,01","4,03",Média Renda e Alto Dinamismo,Dinâmicas
1200013,AC,Acrelândia,Rio Branco,"355,68","1,96",Média Renda e Médio Dinamismo,Estagnadas
1200344,AC,Manoel Urbano,Sena Madureira,"360,29","3,09",Média Renda e Médio Dinamismo,Estagnadas
1200807,AC,Porto Acre,Rio Branco,"374,35","2,74",Média Renda e Médio Dinamismo,Estagnadas
1200500,AC,Sena Madureira,Sena Madureira,"375,63","1,22",Média Renda e Baixo Dinamismo,Estagnadas
1200385,AC,Plácido de Castro,Rio Branco,"376,05","3,33",Média Renda e Médio Dinamismo,Estagnadas
1200179,AC,Capixaba,Rio Branco,"393,63","1,06",Média Renda e Baixo Dinamismo,Estagnadas
1200138,AC,Bujari,Rio Branco,"399,22","2,23",Média Renda e Médio Dinamismo,Estagnadas
1200104,AC,Brasiléia,Brasiléia,"440,35","2,74",Média Renda e Médio Dinamismo,Estagnadas
1200708,AC,Xapuri,Brasiléia,"447,57","1,35",Média Renda e Baixo Dinamismo,Estagnadas
1200203,AC,Cruzeiro do Sul,Cruzeiro do Sul,"526,98","3,61",Média Renda e Médio Dinamismo,Estagnadas
1200450,AC,Senador Guiomard,Rio Branco,"532,84","4,8",Média Renda e Alto Dinamismo,Dinâmicas
1200252,AC,Epitaciolândia,Brasiléia,"547,79","2,71",Média Renda e Médio Dinamismo,Estagnadas
1200401,AC,Rio Branco,Rio Branco,"871,95","2,08",Alta Renda e Médio Dinamismo,Alta Renda
1303700,AM,Santo Antônio do Içá,Alto Solimões,"129,7","5,15",Baixa Renda e Alto Dinamismo,Dinâmicas
1303601,AM,Santa Isabel do Rio Negro,Rio Negro,"149,68","1,4",Baixa Renda e Baixo Dinamismo,Baixa Renda
1302801,AM,Maraã,Japurá,"153,88","2,78",Baixa Renda e Médio Dinamismo,Baixa Renda
1300508,AM,Barreirinha,Parintins,"157,37","4,54",Baixa Renda e Alto Dinamismo,Dinâmicas
1303908,AM,São Paulo de Olivença,Alto Solimões,"159,49","2,62",Baixa Renda e Médio Dinamismo,Baixa Renda
1301803,AM,Ipixuna,Juruá,"164,01","1,54",Baixa Renda e Baixo Dinamismo,Baixa Renda
1300201,AM,Atalaia do Norte,Alto Solimões,"168,97","3,25",Baixa Renda e Médio Dinamismo,Baixa Renda
1300680,AM,Boa Vista do Ramos,Parintins,"186,31","4,12",Baixa Renda e Alto Dinamismo,Dinâmicas
1300029,AM,Alvarães,Tefé,"189,62","1,87",Baixa Renda e Médio Dinamismo,Baixa Renda
1300060,AM,Amaturá,Alto Solimões,"189,64","4,19",Baixa Renda e Alto Dinamismo,Dinâmicas
1304237,AM,Tonantins,Alto Solimões,"200,74","5,42",Baixa Renda e Alto Dinamismo,Dinâmicas
1301654,AM,Guajará,Juruá,"202,75","3,41",Baixa Renda e Médio Dinamismo,Baixa Renda
1300631,AM,Beruri,Coari,"205,25","2,79",Baixa Renda e Médio Dinamismo,Baixa Renda
1304104,AM,Tapauá,Purus,"205,86","7,57",Baixa Renda e Alto Dinamismo,Dinâmicas
1303007,AM,Nhamundá,Parintins,"207,08","3,64",Baixa Renda e Médio Dinamismo,Baixa Renda
1301100,AM,Careiro,Manaus,"209,14","-0,05",Baixa Renda e Baixo Dinamismo,Baixa Renda
1301605,AM,Fonte Boa,Alto Solimões,"212,68","4,02",Baixa Renda e Alto Dinamismo,Dinâmicas
1301506,AM,Envira,Juruá,"217,54","6,48",Baixa Renda e Alto Dinamismo,Dinâmicas
1300904,AM,Canutama,Purus,"219,09","3,05",Baixa Renda e Médio Dinamismo,Baixa Renda
1301159,AM,Careiro da Várzea,Manaus,"219,88","-5,75",Baixa Renda e Baixo Dinamismo,Baixa Renda
1300607,AM,Benjamin Constant,Alto Solimões,"224,04","1,07",Baixa Renda e Baixo Dinamismo,Baixa Renda
1302306,AM,Jutaí,Alto Solimões,"227,5","6,74",Baixa Renda e Alto Dinamismo,Dinâmicas
1301951,AM,Itamarati,Juruá,"228,12","5,47",Baixa Renda e Alto Dinamismo,Dinâmicas
1303502,AM,Pauini,Boca do Acre,"231,58","4,44",Baixa Renda e Alto Dinamismo,Dinâmicas
